id,name,voltage,amperage,authentication_membership_card,capacity,fee,note,opening_hours,operator,socket_schuko,socket_type2,socket_type2_output,lon,lat
"node/25397898",null,"400","32","yes","2","yes",null,"24/7","EnBW AG",null,"2",null,8.4310523,49.0211913
"node/33127962",null,null,null,null,null,null,null,"24/7","Parkraumgesellschaft Baden-Württemberg mbH","1","1",null,8.2171862,48.7772382
"node/60207254","Solartankstelle",null,null,null,null,null,null,null,null,null,null,null,7.765589,48.0430166
"node/265785706","E-Mobil-Ladeplatz","400","16",null,"1",null,null,"24/7","Bernhard Stroop","1",null,null,8.4178638,51.8110197
"node/269378130","Ladesäule Lidl","400","32",null,"2","no",null,"Mo-Sa 07:00-22:00","Lidl",null,"2","22 kW",8.5986381,50.0960421
"node/290918381","Hotel Graf Eberhard",null,null,null,null,null,null,null,"Hotel Graf Eberhard GmbH + Co. KG",null,null,null,9.3760597,48.5023337
"node/332596933",null,null,"32",null,"2","yes",null,null,"E-Werk Mittelbaden","1","2",null,7.8701976,48.3431293
"node/359121906","Solartankstelle",null,null,null,null,null,null,null,null,null,null,null,9.6258911,52.1718857
"node/401301237",null,null,null,null,null,"yes",null,"24/7","Stadt München",null,null,null,11.5739817,48.1589335
"node/425089052",null,"400","32",null,"2",null,null,null,"RWE-Effizienz",null,"2",null,13.3227028,52.5136302
"node/429740871",null,"400","32",null,"2",null,null,"24/7","innogy",null,"2",null,13.3809008,52.5236642
"node/429951629","RWE Stromtankstelle E-Mobillity","400","32",null,"2",null,"Vor Schaperstraße 17 neben Eckhaus Meinekestraße",null,"RWE-Effizienz",null,"2",null,13.3289688,52.4993965
"node/441093493",null,null,null,null,"4",null,null,"24/7",null,null,"2",null,9.5261734,51.2717221
"node/441093498",null,null,null,null,"4",null,null,"24/7",null,null,"2",null,9.5262112,51.2718299
"node/455884820","City Parkhaus Hüxstraße",null,null,null,null,"yes",null,"24/7",null,null,null,null,10.69379,53.8653383
"node/505083024","Ladestation für Elektrofahrzeuge",null,null,null,"5","no",null,"Mo-Fr 07:00-18:00; Sa,Su,PH off","Stadtwerke Greifswald","3","1","43 kW",13.3813823,54.0790192
"node/520518082","Vattenfall InCharge Ladesäule",null,"32","yes",null,null,null,null,"Vattenfall",null,"2",null,13.3254003,52.5028106
"node/540933814",null,"400","32","yes","2","yes",null,null,"innogy",null,"2",null,7.0167861,51.4635723
"node/565062923","Solar-Tankstelle",null,null,null,null,null,null,null,"Museum Autovision",null,null,null,8.5055388,49.2982413
"node/587679900","Beethoven Tiefgarage Stadtwerke Bonn",null,null,null,"2",null,null,null,"SWB Energie und Wasser",null,null,null,7.1027769,50.7394515
"node/601514427",null,null,null,null,null,null,null,null,"rwe",null,null,null,7.0748511,52.4354492
"node/610981736","Stromtankstelle",null,"32",null,"2",null,null,null,"RWE-Effizienz",null,"2",null,13.2737032,52.5358323
"node/611624094",null,null,"32;16",null,null,null,null,null,"Vattenfall",null,null,null,13.3216578,52.5134349
"node/618870894",null,"400","32",null,"2",null,null,null,"ADAC",null,"2",null,10.1100145,54.312148
"node/618877795",null,"400","32",null,null,null,null,null,"ADAC",null,null,null,9.9438182,54.0694366
"node/663773225",null,null,null,null,null,null,null,null,"Allgäuer Überlandwerk",null,null,null,10.3187933,47.727446
"node/667211393",null,"400","32",null,"2",null,"Steubenplatz vor Häusern",null,"RWE-Effizienz",null,"2",null,13.2613337,52.5164617
"node/674866233",null,"400","32",null,null,null,null,"24/7","RWE-Effizienz",null,null,null,8.5444831,50.0978245
"node/694566615",null,"400","32",null,"2",null,"Kurfürstendamm / Schlüterstraße Mittelstreifen vor Kurfürstendamm","24/7","RWE-Effizienz",null,"2",null,13.3168897,52.5009144
"node/703698361","Parkplatz am Theater",null,null,"yes","1","no",null,"24/7","Eon Avacon",null,"1","22kW",10.407618,53.2443187
"node/704002935","Ladesäule für Elektroautos","400","32",null,"2",null,"Güntzel Straße vor ADAC neben Haus Nr. Bundesallee",null,"RWE-Effizienz",null,"2",null,13.3304647,52.4909124
"node/718678233",null,"400","32",null,"2",null,null,null,"RWE-Effizienz",null,"2",null,13.2726609,52.5085627
"node/726821052",null,"400","32",null,null,null,null,"24/7","RWE-Effizienz",null,null,null,6.8699984,51.4073432
"node/741347047",null,"400","32",null,"2",null,"Friedrich-List-Ufer Hbf",null,"RWE-Effizienz",null,"2",null,13.3706094,52.5263351
"node/769334936",null,null,null,null,"2","yes",null,"24/7","innogy SE",null,"2","22 kW",13.408923,52.5104425
"node/801680691",null,null,"32","yes",null,null,null,null,"Vattenfall",null,"2",null,13.3655635,52.572206
"node/822675098",null,null,null,null,"2",null,null,"24/7","INVERS GmbH",null,"2",null,8.0677591,50.9097374
"node/822840995",null,"400","32",null,"2",null,"Kantstraße / Ecke Wilmersdorfer Straße gegenüber Kantstraße",null,"RWE-Effizienz",null,"2",null,13.3062754,52.5068111
"node/829500616",null,null,null,null,null,null,null,null,null,null,null,null,7.3964504,51.7627502
"node/829828377",null,"400","32",null,"2",null,"Augsburger Straße / Los-Angeles-Platz vor Augsburger Straße",null,"RWE-Effizienz",null,"2",null,13.335278,52.5015415
